seed,train_mode,train_size,train_accuracy,test_accuracy,ood_accuracy,spurious_attack_accuracy,relation_probe_accuracy,random_label_probe_accuracy,probe_selectivity,relation_dimension_zero_drop,random_dimension_zero_drop,relation_subspace_drop,nuisance_subspace_drop,gated_neural_relation_score
0,shortcut,1200.0,1.0,0.9466666666666667,0.6633333333333333,0.34,0.9433333333333334,0.2,0.7433333333333334,0.013333333333333308,-0.0033333333333332993,0.4533333333333333,0.4533333333333333,0.0
1,shortcut,1200.0,1.0,0.9733333333333334,0.5633333333333334,0.07666666666666666,0.9666666666666667,0.21333333333333335,0.7533333333333333,0.5366666666666667,0.0033333333333334103,0.43000000000000005,0.43000000000000005,0.0
2,shortcut,1200.0,1.0,0.9666666666666667,0.52,0.05333333333333334,0.9666666666666667,0.19583333333333333,0.7708333333333334,0.17000000000000004,-0.00666666666666671,0.44999999999999996,0.44999999999999996,0.0
3,shortcut,1200.0,1.0,0.94,0.5366666666666666,0.02666666666666667,0.95,0.20666666666666667,0.7433333333333333,0.0,-0.00666666666666671,0.42666666666666664,0.42666666666666664,0.0
4,shortcut,1200.0,1.0,0.96,0.5633333333333334,0.056666666666666664,0.9433333333333334,0.2075,0.7358333333333333,0.0033333333333332993,0.0,0.44333333333333325,0.44333333333333325,0.0
